Algorithm Name,Array Size,Array Source,Number of Runs,Average Runtime (ns),Min Runtime (ns),Max Runtime (ns),Comparisons,Interchanges
Bubble Sort,10000,Random,5,349879080,247617400,405002800,49995000,24973966
Heap Sort,10000,Random,5,9086560,5107300,15383100,235399,124170
Insertion Sort,10000,Random,5,155663280,77584800,249088900,24983965,24973966
Merge Sort,10000,Random,5,18477780,8651700,27116700,120424,133616
Quick Sort,10000,Random,5,5225260,2055700,10415600,152491,81552
Selection Sort,10000,Random,5,136384880,116721200,173127000,49995000,9999
