Algorithm Name,Array Size,Array Source,Number of Runs,Average Runtime (ns),Min Runtime (ns),Max Runtime (ns),Comparisons,Interchanges
Bubble Sort,50,Sorted,5,204160,186700,232100,1225,0
Heap Sort,50,Sorted,5,106280,34600,379300,434,270
Insertion Sort,50,Sorted,5,13460,10100,17200,49,0
Merge Sort,50,Sorted,5,423080,97500,1528200,153,286
Quick Sort,50,Sorted,5,451180,377500,680000,1225,1274
Selection Sort,50,Sorted,5,178860,174000,191100,1225,49
