Algorithm Name,Array Size,Array Source,Number of Runs,Average Runtime (ns),Min Runtime (ns),Max Runtime (ns),Comparisons,Interchanges
Bubble Sort,10000,Random,5,196144300,161733400,294358700,49995000,25132184
Heap Sort,10000,Random,5,3496980,2626800,6524000,235622,124369
Insertion Sort,10000,Random,5,66179620,30652100,105492900,25142183,25132184
Merge Sort,10000,Random,5,9719140,7491100,13793700,120417,133616
Quick Sort,10000,Random,5,4511520,3758500,5543700,160552,87749
Selection Sort,10000,Random,5,65205060,52109100,94114800,49995000,9999
